sentences,label
Bugün harika bir gün geçirdim.,0
Sabah kahvemi içip güne enerjik başladım.,0
Uzun zamandır böyle keyifli hissetmemiştim.,0
En sevdiğim şarkı çalınca dans ettim.,0
Arkadaşlarımla dolu dolu kahkahalar attım.,0
Sınavdan beklediğimden yüksek not aldım.,0
Doğum günümde harika sürprizlerle karşılaştım.,0
Kütüphanede çalışırken huzur buldum.,0
Yürüyüş sırasında kuş sesleri beni rahatlattı.,0
Bugün kendime zaman ayırdım ve iyi hissettim.,0
"Güzel bir haber aldım, çok sevindim.",0
Kitap okurken zamanın nasıl geçtiğini anlamadım.,0
Bugün güneşli hava bana enerji verdi.,0
Sevdiğim biri güzel bir mesaj gönderdi.,0
"Yeni tarif denedim, çok lezzetli oldu.",0
Ailemle kahvaltı yapmak huzur verdi.,0
"İstediğim kitabı aldım, çok mutluyum.",0
Projede ekip çalışması çok keyifliydi.,0
Kedim sabah beni mutlu etti.,0
Bugün hayatın kıymetini fark ettim.,0
Kendimi güçlü ve özgür hissettim.,0
Doğada yürüyüş yapmak bana iyi geldi.,0
Yeni hobim bana neşe kattı.,0
Kütüphane sessizliği beni rahatlattı.,0
Sevdiğim dizinin yeni sezonu başladı.,0
"Birine yardım ettim, içim huzurla doldu.",0
Bugün bol bol gülümsedim.,0
Yağmur sesi ve sıcak çayla huzur buldum.,0
Müziği açıp dans etmek çok keyifliydi.,0
Arkadaşımın övgüsü beni mutlu etti.,0
Kampüste yapılan etkinlik çok eğlenceliydi.,0
"Bugün üretkendim, kendimle gurur duydum.",0
Hatıra fotoğrafı görmek beni duygulandırdı.,0
"Tüm planlarımı tamamladım, içim rahat.",0
Akşam gün batımını izlemek huzur verdi.,0
Yeni tanıştığım insanlar çok sıcaktı.,0
Bir çocuğun gülümsemesi içimi ısıttı.,0
Bugün kendimi çok sevdim.,0
"Bir çiçek gördüm, içim açıldı.",0
Egzersiz yapınca kendimi çok iyi hissettim.,0
Yeni ayakkabılarla yürümek keyifliydi.,0
"Hayalim gerçekleşti, çok mutluyum.",0
Defterime yazı yazmak beni rahatlattı.,0
Sabah kuş sesleriyle uyanmak huzur verdi.,0
Bugün hiçbir şeyden şikayet etmedim.,0
Kütüphanede tanıştığım biriyle güzel sohbet ettim.,0
"Gönüllü etkinliğe katıldım, anlamlıydı.",0
Oyun oynadım ve çok eğlendim.,0
Sevdiğim yemeği yemek çok güzeldi.,0
Minik bir hediye almak beni sevindirdi.,0
Sabah büyük bir gülümsemeyle uyandım.,0
"Balonlar gökyüzünde süzülüyordu, çok sevinçliydim.",0
Uzun zamandır görmediğim dostumu gördüm.,0
Bahar havası bana neşe verdi.,0
Küçük başarılarımı kutlamak keyifliydi.,0
Şehrin kalabalığında bile huzurluydum.,0
Sevdiğim insanla güzel bir sohbet ettim.,0
Bugün ilk kez sadece kendime zaman ayırdım.,0
Minik çocuğun kahkahası beni mutlu etti.,0
Güneşin ışıkları yüzümü ısıttı.,0
Doğum günü kutlaması beni çok mutlu etti.,0
Gökyüzüne bakınca rahatladım.,0
Pasta tarifim harika oldu.,0
Deniz kenarında yürüyüş yapmak çok huzurluydu.,0
"Hayallerime yaklaştım, umut doluyum.",0
Yağmur sonrası gökkuşağı görmek beni mutlu etti.,0
Sanat galerisi gezmek içimi rahatlattı.,0
Bir yabancının gülümsemesi günümü güzelleştirdi.,0
"Kedim kucağımda uyudu, içim sevgiyle doldu.",0
Bugün küçük şeylerden mutlu oldum.,0
Sokakta sevdiğim bir şarkıyı duymak güzeldi.,0
Arkadaşlarımla yürüyüş yapmak keyifliydi.,0
Sabah kahvesiyle güne güzel başladım.,0
Ağaçların yeşili içimi ferahlattı.,0
Beklemediğim yerden güzel haber aldım.,0
"Sevdiğim biri bana not bıraktı, çok mutlu oldum.",0
Güneşli sabah bana umut verdi.,0
Bugün bir dileğim gerçek oldu.,0
Yeni öğrendiğim beceriyle gururlandım.Bugün sevdiğim şarkıyı dinleyerek güne başladım.,0
"Kütüphanede çalışırken tam odaklanabildim, huzur doluydu.",0
"Sevdiğim film tekrar yayınlandı, çok sevindim.",0
Parkta yürüyüş yaparken rüzgar saçlarımı okşadı.,0
Bugün kendime en sevdiğim çiçeği aldım.,0
Yolda tanımadığım biri bana gülümsedi.,0
Yeni bitirdiğim kitap beni çok etkiledi.,0
"Sabah alarmım çalmadan uyandım, dinlenmiş hissediyorum.",0
Bugün bol bol su içtim ve kendimi zinde hissettim.,0
Arkadaşlarımla kahve içip uzun uzun sohbet ettik.,0
"Bugün gökyüzü masmaviydi, bakmaya doyamadım.",0
Sabah yürüyüşünde kuşlar eşlik etti.,0
"Bugün kütüphane sessizdi, çok verimli geçti.",0
Annemle telefonda güzel bir sohbet ettik.,0
Bugün kendime güzel bir yemek pişirdim.,0
Rahatlatıcı bir müzik eşliğinde kitap okudum.,0
Bugün tamamen sakin ve huzurlu geçti.,0
Bir projeyi başarıyla tamamladım.,0
Bugün güne çok pozitif başladım.,0
Eski bir arkadaşım bana sürpriz mesaj attı.,0
Kahvemi balkonda içmek çok keyifliydi.,0
Bugün aynada kendime gülümsedim.,0
"Kedim bugün yanımdan hiç ayrılmadı, çok sevimliydi.",0
Bugün herkes bana çok nazikti.,0
"Bir çocuk bana çiçek verdi, çok mutlu oldum.",0
Bugün kendime küçük bir ödül verdim.,0
Hayatın küçük detayları bana mutluluk verdi.,0
Kardeşimle güzel anılarımızı konuştuk.,0
Bugün her şey tam planladığım gibi gitti.,0
Akşam yemeğinde en sevdiğim yemeği yedim.,0
Bugün kendime yeni hedefler belirledim.,0
Sabah camdan bakarken içim huzurla doldu.,0
Bugün kendimi çok yalnız hissettim.,0
Sabah uyanmak bile istemedim.,0
Hiçbir şeyden keyif alamıyorum.,0
İçimde tarif edemediğim bir boşluk var.,1
Günlerdir moralim çok bozuk.,1
Sanki herkes benden uzaklaşıyor.,1
Mutlu olmak bana çok uzak.,1
Bugün gözlerim doldu.,1
Kendimi değersiz hissediyorum.,1
Her şey üst üste geliyor gibi.,1
Kalbimde ağır bir yük var.,1
Ne kadar denesem de gülemiyorum.,1
Bugün hiçbir şey yolunda gitmedi.,1
Tükenmiş hissediyorum.,1
Mutlu olmayı başaramıyorum.,1
Sevdiğim insanlar artık yanımda değil.,1
Kendimi boşlukta hissediyorum.,1
Durduk yere ağladım.,1
